Circuit_Type,No_Of_Transistors,Activity_Factor,Capacitance,Leakage_current,Short_ckt_Current,Short_ckt_Power,Static_Power,Dynamic_Power
OR,6,0.954,7.8543156e-07,2.1882e-08,3.723e-09,3.723e-09,2.1882e-08,3.7465085e-07
NAND,4,0.289,8.890769e-08,1.6546e-08,1.539e-08,1.539e-08,1.6546e-08,1.284716e-08
D Flip-Flop,18,0.388,1.4964041e-07,2.0992e-08,1.179e-08,1.179e-08,2.0992e-08,2.903024e-08
Mux,16,0.101,5.7908173e-07,1.1901e-08,2.2434e-08,2.2434e-08,1.1901e-08,2.924363e-08
OR,6,0.121,6.0747045e-07,1.7961e-08,1.3039e-08,1.3039e-08,1.7961e-08,3.675196e-08
Inverter,2,0.729,6.9001825e-07,2.4502e-08,2.3579e-08,2.3579e-08,2.4502e-08,2.5151165e-07
OR,6,0.945,3.9957887e-07,3.922e-09,8.896e-09,8.896e-09,3.922e-09,1.8880102e-07
XOR,10,0.615,7.7615968e-07,2.318e-08,2.4176e-08,2.4176e-08,2.318e-08,2.386691e-07
AND,6,0.719,9.7461501e-07,1.3107e-08,2.1891e-08,2.1891e-08,1.3107e-08,3.503741e-07
XOR,10,0.764,2.7838399e-07,1.6116e-08,1.4648e-08,1.4648e-08,1.6116e-08,1.0634268e-07
Mux,16,0.27,7.0599833e-07,2.1959e-08,8.907e-09,8.907e-09,2.1959e-08,9.530977e-08
XNOR,10,0.055,9.2918397e-07,1.03e-08,9.46e-09,9.46e-09,1.03e-08,2.555256e-08
D Flip-Flop,18,0.012,6.8942389e-07,1.0525e-08,1.9342e-08,1.9342e-08,1.0525e-08,4.13654e-09
XOR,10,0.357,6.842984e-07,1.3227e-08,1.4558e-08,1.4558e-08,1.3227e-08,1.2214726e-07
AND,6,0.249,2.3153484e-07,5.76e-10,1.01e-08,1.01e-08,5.76e-10,2.882609e-08
XNOR,10,0.072,5.397789e-07,1.2467e-08,1.5938e-08,1.5938e-08,1.2467e-08,1.943204e-08
XOR,10,0.188,5.6689762e-07,7.348e-09,1.8358e-08,1.8358e-08,7.348e-09,5.328838e-08
NOR,4,0.133,7.0312827e-07,2.3206e-08,6.7e-10,6.7e-10,2.3206e-08,4.675803e-08
AND,6,0.916,9.9685324e-07,2.285e-09,2.338e-09,2.338e-09,2.285e-09,4.5655878e-07
D Flip-Flop,18,0.149,4.330738e-08,1.1537e-08,2.453e-09,2.453e-09,1.1537e-08,3.2264e-09
NAND,4,0.542,7.458033e-08,2.3692e-08,5.875e-09,5.875e-09,2.3692e-08,2.021127e-08
XNOR,10,0.597,8.717057e-08,2.2536e-08,1.0732e-08,1.0732e-08,2.2536e-08,2.602042e-08
NOR,4,0.548,7.4554934e-07,1.7564e-08,2.0111e-08,2.0111e-08,1.7564e-08,2.0428052e-07
NAND,4,0.108,1.4499026e-07,1.4775e-08,8.842e-09,8.842e-09,1.4775e-08,7.82947e-09
Inverter,2,0.326,6.2622736e-07,7.09e-09,5.35e-10,5.35e-10,7.09e-09,1.0207506e-07
AND,6,0.061,3.3142219e-07,9.237e-09,1.2136e-08,1.2136e-08,9.237e-09,1.010838e-08
NOR,4,0.402,4.6274676e-07,2.344e-09,2.4916e-08,2.4916e-08,2.344e-09,9.30121e-08
OR,6,0.197,2.2350653e-07,1.9674e-08,8.791e-09,8.791e-09,1.9674e-08,2.201539e-08
Inverter,2,0.566,8.674455e-07,8.164e-09,2.4035e-08,2.4035e-08,8.164e-09,2.4548708e-07
Inverter,2,0.696,5.9028882e-07,1.6728e-08,2.623e-09,2.623e-09,1.6728e-08,2.0542051e-07
XNOR,10,0.537,9.4511763e-07,9.004e-09,4.41e-09,4.41e-09,9.004e-09,2.5376408e-07
AND,6,0.44,5.7885029e-07,1.1662e-08,1.8131e-08,1.8131e-08,1.1662e-08,1.2734706e-07
NOR,4,0.393,1.3266895e-07,1.392e-08,1.258e-08,1.258e-08,1.392e-08,2.606945e-08
Mux,16,0.843,1.7916173e-07,2.0066e-08,1.9152e-08,1.9152e-08,2.0066e-08,7.551667e-08
NOR,4,0.227,9.8918324e-07,5.358e-09,2.1603e-08,2.1603e-08,5.358e-09,1.122723e-07
XOR,10,0.737,7.2830955e-07,1.0029e-08,6.352e-09,6.352e-09,1.0029e-08,2.6838207e-07
Inverter,2,0.76,5.878596e-08,3.339e-09,1.7102e-08,1.7102e-08,3.339e-09,2.233866e-08
D Flip-Flop,18,0.425,7.0674319e-07,1.986e-09,1.5229e-08,1.5229e-08,1.986e-09,1.5018293e-07
Inverter,2,0.304,4.1805132e-07,1.5156e-08,2.1552e-08,2.1552e-08,1.5156e-08,6.35438e-08
Inverter,2,0.476,3.141363e-07,4.808e-09,1.081e-08,1.081e-08,4.808e-09,7.476444e-08
OR,6,0.102,1.6252019e-07,1.589e-09,1.392e-09,1.392e-09,1.589e-09,8.28853e-09
Mux,16,0.055,8.4150492e-07,2.2438e-08,1.4397e-08,1.4397e-08,2.2438e-08,2.314139e-08
NAND,4,0.12,7.320297e-08,1.3404e-08,2.3976e-08,2.3976e-08,1.3404e-08,4.39218e-09
NAND,4,0.195,2.9693711e-07,3.452e-09,4.64e-10,4.64e-10,3.452e-09,2.895137e-08
OR,6,0.509,3.1331906e-07,1.43e-09,6.082e-09,6.082e-09,1.43e-09,7.97397e-08
Inverter,2,0.851,1.6929623e-07,3.085e-09,7.97e-09,7.97e-09,3.085e-09,7.203555e-08
NAND,4,0.243,5.1310303e-07,1.1836e-08,1.9169e-08,1.9169e-08,1.1836e-08,6.234202e-08
AND,6,0.936,2.15856e-08,1.6745e-08,8.15e-09,8.15e-09,1.6745e-08,1.010206e-08
Mux,16,0.955,3.0796576e-07,1.6068e-08,6.053e-09,6.053e-09,1.6068e-08,1.4705365e-07
NAND,4,0.959,9.3429315e-07,3.696e-09,1.6249e-08,1.6249e-08,3.696e-09,4.4799357e-07
OR,6,0.839,3.1742427e-07,1.5874e-08,1.255e-09,1.255e-09,1.5874e-08,1.3315948e-07
XOR,10,0.37,3.6685479e-07,1.0181e-08,4.348e-09,4.348e-09,1.0181e-08,6.786814e-08
NAND,4,0.082,4.784334e-07,1.1672e-08,1.026e-08,1.026e-08,1.1672e-08,1.961577e-08
Mux,16,0.573,5.6607644e-07,2.0056e-08,8.954e-09,8.954e-09,2.0056e-08,1.621809e-07
XNOR,10,0.563,8.1062156e-07,8.379e-09,8.744e-09,8.744e-09,8.379e-09,2.2818997e-07
XNOR,10,0.851,1.9841801e-07,3.76e-09,2.803e-09,2.803e-09,3.76e-09,8.442686e-08
AND,6,0.996,8.7302891e-07,2.1849e-08,9.085e-09,9.085e-09,2.1849e-08,4.347684e-07
NOR,4,0.513,7.5997386e-07,5.382e-09,1.997e-08,1.997e-08,5.382e-09,1.949333e-07
NOR,4,0.352,7.2542383e-07,7.421e-09,1.0405e-08,1.0405e-08,7.421e-09,1.2767459e-07
NAND,4,0.194,9.593653e-08,1.7694e-08,1.4696e-08,1.4696e-08,1.7694e-08,9.30584e-09
D Flip-Flop,18,0.015,3.142428e-08,1.712e-08,4.173e-09,4.173e-09,1.712e-08,2.3568e-10
XOR,10,0.514,5.9807257e-07,2.003e-08,1.836e-09,1.836e-09,2.003e-08,1.5370465e-07
OR,6,0.56,8.6450262e-07,4.678e-09,2.2011e-08,2.2011e-08,4.678e-09,2.4206073e-07
XOR,10,0.827,5.8859705e-07,8.872e-09,8.351e-09,8.351e-09,8.872e-09,2.4338488e-07
XNOR,10,0.51,2.2110252e-07,3.234e-09,8.823e-09,8.823e-09,3.234e-09,5.638114e-08
NAND,4,0.917,9.96147e-08,1.3572e-08,2.1954e-08,2.1954e-08,1.3572e-08,4.567334e-08
Mux,16,0.632,7.0260049e-07,7.385e-09,1.7724e-08,1.7724e-08,7.385e-09,2.2202175e-07
OR,6,0.842,7.2455257e-07,1.7254e-08,1.8931e-08,1.8931e-08,1.7254e-08,3.0503663e-07
XOR,10,0.157,1.8080638e-07,1.09e-10,1.7082e-08,1.7082e-08,1.09e-10,1.41933e-08
Mux,16,0.857,3.790841e-08,1.586e-09,2.734e-09,2.734e-09,1.586e-09,1.624375e-08
OR,6,0.678,4.1420068e-07,1.0871e-08,2.3954e-08,2.3954e-08,1.0871e-08,1.4041403e-07
XOR,10,0.179,5.8689152e-07,2.3959e-08,2.2737e-08,2.2737e-08,2.3959e-08,5.252679e-08
AND,6,0.198,7.0894239e-07,2.2282e-08,5.982e-09,5.982e-09,2.2282e-08,7.01853e-08
XNOR,10,0.927,8.1184556e-07,2.4851e-08,2.0119e-08,2.0119e-08,2.4851e-08,3.7629042e-07
Inverter,2,0.042,6.1443205e-07,1.0479e-08,1.0294e-08,1.0294e-08,1.0479e-08,1.290307e-08
OR,6,0.468,1.197718e-07,1.26e-09,1.7126e-08,1.7126e-08,1.26e-09,2.80266e-08
XNOR,10,0.32,6.8575586e-07,7.718e-09,4.224e-09,4.224e-09,7.718e-09,1.0972094e-07
D Flip-Flop,18,0.668,9.8433488e-07,1.6927e-08,1.351e-08,1.351e-08,1.6927e-08,3.2876785e-07
NAND,4,0.841,9.0652874e-07,3.466e-09,3.253e-09,3.253e-09,3.466e-09,3.8119534e-07
Mux,16,0.367,8.7295222e-07,7.569e-09,1.3451e-08,1.3451e-08,7.569e-09,1.6018673e-07
OR,6,0.433,3.0914845e-07,1.499e-09,6.165e-09,6.165e-09,1.499e-09,6.693064e-08
NAND,4,0.982,7.5328029e-07,1.1927e-08,1.1366e-08,1.1366e-08,1.1927e-08,3.6986062e-07
NAND,4,0.786,8.5259241e-07,5.302e-09,1.6732e-08,1.6732e-08,5.302e-09,3.3506882e-07
Inverter,2,0.898,6.8154294e-07,2.372e-09,2.1939e-08,2.1939e-08,2.372e-09,3.0601278e-07
XOR,10,0.444,2.5805614e-07,1.0339e-08,4.216e-09,4.216e-09,1.0339e-08,5.728846e-08
OR,6,0.242,9.5429563e-07,8.846e-09,2.2342e-08,2.2342e-08,8.846e-09,1.1546977e-07
XNOR,10,0.418,4.5631122e-07,1.3484e-08,9.812e-09,9.812e-09,1.3484e-08,9.536904e-08
NOR,4,0.719,1.385075e-07,1.8751e-08,2.1111e-08,2.1111e-08,1.8751e-08,4.979345e-08
OR,6,0.118,1.1868012e-07,2.903e-09,1.2862e-08,1.2862e-08,2.903e-09,7.00213e-09
OR,6,0.278,6.510438e-07,1.9799e-08,2.1569e-08,2.1569e-08,1.9799e-08,9.049509e-08
OR,6,0.056,4.4333255e-07,7.55e-10,1.6604e-08,1.6604e-08,7.55e-10,1.241331e-08
NAND,4,0.438,1.0353904e-07,1.1133e-08,1.2767e-08,1.2767e-08,1.1133e-08,2.267505e-08
Mux,16,0.829,7.4296093e-07,1.4727e-08,7.882e-09,7.882e-09,1.4727e-08,3.0795731e-07
NAND,4,0.034,8.0133192e-07,2.3929e-08,2.4226e-08,2.4226e-08,2.3929e-08,1.362264e-08
Mux,16,0.679,7.2816147e-07,1.4391e-08,2.0042e-08,2.0042e-08,1.4391e-08,2.4721082e-07
NOR,4,0.933,2.1023827e-07,4.053e-09,9.592e-09,9.592e-09,4.053e-09,9.807615e-08
NAND,4,0.245,6.928777e-07,1.2987e-08,4.251e-09,4.251e-09,1.2987e-08,8.487752e-08
Mux,16,0.697,2.061557e-08,9.955e-09,1.951e-08,1.951e-08,9.955e-09,7.18453e-09
NAND,4,0.975,3.1206102e-07,1.2036e-08,2.475e-08,2.475e-08,1.2036e-08,1.5212975e-07
D Flip-Flop,18,0.963,4.0483332e-07,5.008e-09,7.046e-09,7.046e-09,5.008e-09,1.9492724e-07
NAND,4,0.243,8.3689448e-07,1.2571e-08,2.2905e-08,2.2905e-08,1.2571e-08,1.0168268e-07
NOR,4,0.109,3.9649043e-07,3.836e-09,3.222e-09,3.222e-09,3.836e-09,2.160873e-08
NOR,4,0.157,2.115675e-08,1.8627e-08,2.381e-08,2.381e-08,1.8627e-08,1.6608e-09
Mux,16,0.705,3.5882295e-07,1.4888e-08,1.8659e-08,1.8659e-08,1.4888e-08,1.2648509e-07
Mux,16,0.729,5.0393486e-07,2.055e-09,8.73e-09,8.73e-09,2.055e-09,1.8368426e-07
NOR,4,0.677,9.4951474e-07,2.2251e-08,7.685e-09,7.685e-09,2.2251e-08,3.2141074e-07
NOR,4,0.343,9.4162396e-07,1.5448e-08,1.6122e-08,1.6122e-08,1.5448e-08,1.6148851e-07
Inverter,2,0.178,1.890653e-07,7.971e-09,1.4878e-08,1.4878e-08,7.971e-09,1.682681e-08
OR,6,0.585,1.9329508e-07,1.236e-09,2.2982e-08,2.2982e-08,1.236e-09,5.653881e-08
AND,6,0.489,1.7174764e-07,1.5842e-08,1.9179e-08,1.9179e-08,1.5842e-08,4.19923e-08
NAND,4,0.732,7.9103271e-07,9.399e-09,1.3555e-08,1.3555e-08,9.399e-09,2.8951797e-07
XOR,10,0.447,1.596182e-08,2.27e-08,2.3196e-08,2.3196e-08,2.27e-08,3.56747e-09
OR,6,0.345,1.3590543e-07,9.68e-10,1.4859e-08,1.4859e-08,9.68e-10,2.344369e-08
AND,6,0.301,5.4258004e-07,1.074e-09,2.1257e-08,2.1257e-08,1.074e-09,8.16583e-08
Inverter,2,0.219,2.5508645e-07,2.3738e-08,2.1039e-08,2.1039e-08,2.3738e-08,2.793197e-08
XOR,10,0.273,1.0143289e-07,2.4125e-08,2.2988e-08,2.2988e-08,2.4125e-08,1.384559e-08
Mux,16,0.104,3.6627923e-07,7.91e-10,1.783e-09,1.783e-09,7.91e-10,1.904652e-08
NOR,4,0.353,2.8146553e-07,1.7929e-08,1.4637e-08,1.4637e-08,1.7929e-08,4.967867e-08
D Flip-Flop,18,0.046,5.1599326e-07,5.615e-09,1.1763e-08,1.1763e-08,5.615e-09,1.186784e-08
XNOR,10,0.195,9.7944126e-07,1.7565e-08,1.2315e-08,1.2315e-08,1.7565e-08,9.549552e-08
NOR,4,0.749,1.3306159e-07,2.1731e-08,1.1552e-08,1.1552e-08,2.1731e-08,4.983157e-08
D Flip-Flop,18,0.332,3.7899944e-07,2.611e-09,2.0953e-08,2.0953e-08,2.611e-09,6.291391e-08
AND,6,0.672,9.3266517e-07,6.045e-09,8.029e-09,8.029e-09,6.045e-09,3.133755e-07
Mux,16,0.72,8.7810431e-07,7e-10,1.1623e-08,1.1623e-08,7e-10,3.1611755e-07
XOR,10,0.585,4.0032832e-07,1.191e-09,5.097e-09,5.097e-09,1.191e-09,1.1709603e-07
AND,6,0.959,7.0196373e-07,8.37e-10,6.368e-09,6.368e-09,8.37e-10,3.3659161e-07
NOR,4,0.031,9.697844e-08,2.0037e-08,1.6544e-08,1.6544e-08,2.0037e-08,1.50317e-09
NOR,4,0.741,7.1541564e-07,7.527e-09,3.012e-09,3.012e-09,7.527e-09,2.6506149e-07
XOR,10,0.959,9.7312915e-07,1.2381e-08,4.777e-09,4.777e-09,1.2381e-08,4.6661543e-07
XNOR,10,0.864,5.4211327e-07,1.9717e-08,1.3248e-08,1.3248e-08,1.9717e-08,2.3419293e-07
D Flip-Flop,18,0.176,5.0350532e-07,1.2424e-08,1.19e-09,1.19e-09,1.2424e-08,4.430847e-08
AND,6,0.334,1.9544543e-07,1.0787e-08,3.26e-09,3.26e-09,1.0787e-08,3.263939e-08
Mux,16,0.181,6.3745032e-07,3.88e-10,2.1597e-08,2.1597e-08,3.88e-10,5.768925e-08
NOR,4,0.605,5.9453291e-07,1.4244e-08,2.1169e-08,2.1169e-08,1.4244e-08,1.7984621e-07
AND,6,0.715,6.5541373e-07,3.206e-09,8.76e-09,8.76e-09,3.206e-09,2.3431041e-07
XNOR,10,0.324,3.582245e-08,1.914e-08,8.765e-09,8.765e-09,1.914e-08,5.80324e-09
AND,6,0.544,5.5323625e-07,6.518e-09,2.3419e-08,2.3419e-08,6.518e-09,1.5048026e-07
XOR,10,0.694,5.989855e-07,1.6887e-08,7.43e-10,7.43e-10,1.6887e-08,2.0784797e-07
Mux,16,0.427,2.1545483e-07,1.6191e-08,1.4549e-08,1.4549e-08,1.6191e-08,4.599961e-08
Inverter,2,0.855,2.1624953e-07,1.5455e-08,1.4975e-08,1.4975e-08,1.5455e-08,9.244667e-08
XOR,10,0.774,2.8345599e-07,6.747e-09,1.9718e-08,1.9718e-08,6.747e-09,1.0969747e-07
AND,6,0.074,7.1460438e-07,6.751e-09,2.3799e-08,2.3799e-08,6.751e-09,2.644036e-08
Inverter,2,0.625,6.102034e-07,2.159e-08,8.96e-09,8.96e-09,2.159e-08,1.9068856e-07
NOR,4,0.243,8.4730502e-07,4.19e-10,1.1002e-08,1.1002e-08,4.19e-10,1.0294756e-07
Inverter,2,0.562,3.0270199e-07,4.62e-09,1.6815e-08,1.6815e-08,4.62e-09,8.505926e-08
XNOR,10,0.957,9.1294738e-07,1.5293e-08,2.4185e-08,2.4185e-08,1.5293e-08,4.3684532e-07
NAND,4,0.88,7.462691e-07,2.0444e-08,2.2281e-08,2.2281e-08,2.0444e-08,3.283584e-07
XNOR,10,0.41,4.0106155e-07,9.023e-09,1.671e-08,1.671e-08,9.023e-09,8.221762e-08
XOR,10,0.299,1.0430944e-07,1.6371e-08,2.1432e-08,2.1432e-08,1.6371e-08,1.559426e-08
NAND,4,0.242,2.6441383e-07,1.3973e-08,2.222e-09,2.222e-09,1.3973e-08,3.199407e-08
XOR,10,0.537,9.5720054e-07,1.707e-09,9.49e-09,9.49e-09,1.707e-09,2.5700834e-07
Mux,16,0.123,3.1725974e-07,1.5582e-08,4.26e-10,4.26e-10,1.5582e-08,1.951147e-08
OR,6,0.554,3.3660195e-07,2.0366e-08,4.519e-09,4.519e-09,2.0366e-08,9.323874e-08
NOR,4,0.011,1.9769304e-07,2.4812e-08,1.5799e-08,1.5799e-08,2.4812e-08,1.08731e-09
NOR,4,0.331,8.087821e-07,8.38e-10,2.215e-08,2.215e-08,8.38e-10,1.3385344e-07
AND,6,0.228,2.8288779e-07,1.6535e-08,1.5856e-08,1.5856e-08,1.6535e-08,3.224921e-08
D Flip-Flop,18,0.972,3.3695567e-07,1.0422e-08,1.6637e-08,1.6637e-08,1.0422e-08,1.6376046e-07
XOR,10,0.73,4.2020463e-07,3.44e-10,2.685e-09,2.685e-09,3.44e-10,1.5337469e-07
OR,6,0.356,4.39391e-07,1.5398e-08,1.6655e-08,1.6655e-08,1.5398e-08,7.82116e-08
OR,6,0.102,4.1722738e-07,3.148e-09,1.1413e-08,1.1413e-08,3.148e-09,2.12786e-08
XNOR,10,0.522,5.0870626e-07,9.526e-09,1.6321e-08,1.6321e-08,9.526e-09,1.3277233e-07
XNOR,10,0.221,8.1636775e-07,6.608e-09,8.222e-09,8.222e-09,6.608e-09,9.020864e-08
D Flip-Flop,18,0.541,8.2109219e-07,9.093e-09,1.4579e-08,1.4579e-08,9.093e-09,2.2210544e-07
AND,6,0.837,8.0033e-07,1.2368e-08,1.0659e-08,1.0659e-08,1.2368e-08,3.349381e-07
Inverter,2,0.62,1.1011359e-07,9.044e-09,1.401e-08,1.401e-08,9.044e-09,3.413521e-08
XNOR,10,0.637,8.0168202e-07,1.3863e-08,3.763e-09,3.763e-09,1.3863e-08,2.5533572e-07
AND,6,0.546,1.2904926e-07,6.042e-09,9.956e-09,9.956e-09,6.042e-09,3.523045e-08
Mux,16,0.928,1.3347653e-07,1.5921e-08,9.42e-09,9.42e-09,1.5921e-08,6.193311e-08
NOR,4,0.933,9.4838414e-07,2.1359e-08,1.8436e-08,1.8436e-08,2.1359e-08,4.424212e-07
NOR,4,0.518,8.2120387e-07,5.679e-09,1.769e-08,1.769e-08,5.679e-09,2.126918e-07
AND,6,0.313,5.5688636e-07,1.2746e-08,2.2731e-08,2.2731e-08,1.2746e-08,8.715272e-08
D Flip-Flop,18,0.465,8.762205e-07,1.6252e-08,1.5838e-08,1.5838e-08,1.6252e-08,2.0372127e-07
OR,6,0.195,9.89471e-07,1.4159e-08,7.932e-09,7.932e-09,1.4159e-08,9.647342e-08
D Flip-Flop,18,0.64,6.1453565e-07,9.205e-09,1.9602e-08,1.9602e-08,9.205e-09,1.9665141e-07
AND,6,0.505,6.1676945e-07,1.6091e-08,1.2475e-08,1.2475e-08,1.6091e-08,1.5573429e-07
XOR,10,0.112,7.5688276e-07,8.03e-10,4.918e-09,4.918e-09,8.03e-10,4.238543e-08
NAND,4,0.206,2.3981756e-07,9.311e-09,1.8711e-08,1.8711e-08,9.311e-09,2.470121e-08
NOR,4,0.485,1.7545361e-07,1.3362e-08,3.4e-09,3.4e-09,1.3362e-08,4.25475e-08
AND,6,0.889,7.6198494e-07,6.13e-10,4.536e-09,4.536e-09,6.13e-10,3.3870231e-07
OR,6,0.571,3.5145575e-07,1.274e-08,1.8993e-08,1.8993e-08,1.274e-08,1.0034062e-07
NAND,4,0.685,1.4371965e-07,1.6391e-08,1.9277e-08,1.9277e-08,1.6391e-08,4.922398e-08
Mux,16,0.346,3.2172895e-07,1.9004e-08,1.979e-08,1.979e-08,1.9004e-08,5.565911e-08
XNOR,10,0.576,3.650505e-07,2.923e-09,7.404e-09,7.404e-09,2.923e-09,1.0513454e-07
XOR,10,0.453,9.6557538e-07,2.4765e-08,2.1678e-08,2.1678e-08,2.4765e-08,2.1870282e-07
XNOR,10,0.663,7.0098011e-07,1.5194e-08,1.8094e-08,1.8094e-08,1.5194e-08,2.3237491e-07
NAND,4,0.06,5.3554775e-07,9.144e-09,2.0866e-08,2.0866e-08,9.144e-09,1.606643e-08
NAND,4,0.498,9.6918441e-07,6.302e-09,1.7744e-08,1.7744e-08,6.302e-09,2.4132692e-07
XNOR,10,0.303,9.0410834e-07,1.4365e-08,1.4532e-08,1.4532e-08,1.4365e-08,1.3697241e-07
OR,6,0.333,5.1688085e-07,2.2055e-08,2.824e-09,2.824e-09,2.2055e-08,8.606066e-08
OR,6,0.961,9.0662284e-07,1.3062e-08,1.7802e-08,1.7802e-08,1.3062e-08,4.3563227e-07
Inverter,2,0.191,4.1026161e-07,1.6571e-08,1.7292e-08,1.7292e-08,1.6571e-08,3.917998e-08
Mux,16,0.318,2.3811646e-07,9.007e-09,7.881e-09,7.881e-09,9.007e-09,3.786052e-08
OR,6,0.515,2.403514e-07,9.765e-09,1.8422e-08,1.8422e-08,9.765e-09,6.189049e-08
Mux,16,0.864,6.6569237e-07,7.226e-09,1.3806e-08,1.3806e-08,7.226e-09,2.875791e-07
Mux,16,0.423,5.0605962e-07,1.767e-08,1.4029e-08,1.4029e-08,1.767e-08,1.0703161e-07
NAND,4,0.746,6.6236134e-07,9.044e-09,9.253e-09,9.253e-09,9.044e-09,2.4706078e-07
Mux,16,0.858,6.892152e-07,4.849e-09,3.008e-09,3.008e-09,4.849e-09,2.9567332e-07
XOR,10,0.317,3.209964e-08,9.298e-09,5.502e-09,5.502e-09,9.298e-09,5.08779e-09
XNOR,10,0.399,6.34992e-08,2.136e-08,1.9244e-08,1.9244e-08,2.136e-08,1.266809e-08
Inverter,2,0.363,5.3735095e-07,1.8482e-08,6.859e-09,6.859e-09,1.8482e-08,9.75292e-08
AND,6,0.835,1.9912512e-07,8.433e-09,1.56e-10,1.56e-10,8.433e-09,8.313474e-08
D Flip-Flop,18,0.054,6.3620843e-07,2.268e-08,2.4926e-08,2.4926e-08,2.268e-08,1.717763e-08
Inverter,2,0.315,5.5666388e-07,1.963e-09,5.346e-09,5.346e-09,1.963e-09,8.767456e-08
XOR,10,0.683,5.8990275e-07,1.339e-09,1.6419e-08,1.6419e-08,1.339e-09,2.0145179e-07
Inverter,2,0.57,3.0943083e-07,3.274e-09,2.318e-08,2.318e-08,3.274e-09,8.818779e-08
Mux,16,0.442,6.4344507e-07,3e-09,1.5033e-08,1.5033e-08,3e-09,1.4220136e-07
NAND,4,0.545,8.3119771e-07,2.287e-09,1.9996e-08,1.9996e-08,2.287e-09,2.2650138e-07
D Flip-Flop,18,0.206,9.9809054e-07,1.6567e-08,2.4412e-08,2.4412e-08,1.6567e-08,1.0280333e-07
OR,6,0.436,8.4005994e-07,1.5061e-08,2.1523e-08,2.1523e-08,1.5061e-08,1.8313307e-07
NAND,4,0.507,5.6192377e-07,1.6225e-08,1.3992e-08,1.3992e-08,1.6225e-08,1.4244768e-07
Mux,16,0.902,2.014953e-07,1.724e-08,9.156e-09,9.156e-09,1.724e-08,9.087438e-08
Mux,16,0.268,6.8463142e-07,1.8946e-08,1.2113e-08,1.2113e-08,1.8946e-08,9.174061e-08
D Flip-Flop,18,0.869,9.3827725e-07,5.259e-09,2.1061e-08,2.1061e-08,5.259e-09,4.0768147e-07
D Flip-Flop,18,0.648,2.1974787e-07,1.5595e-08,2.1349e-08,2.1349e-08,1.5595e-08,7.119831e-08
NOR,4,0.03,2.6343566e-07,1.4543e-08,2.1162e-08,2.1162e-08,1.4543e-08,3.95153e-09
NAND,4,0.727,1.5751846e-07,2.3597e-08,1.4971e-08,1.4971e-08,2.3597e-08,5.725796e-08
OR,6,0.045,7.3935443e-07,5.886e-09,1.1976e-08,1.1976e-08,5.886e-09,1.663547e-08
Inverter,2,0.997,4.1249589e-07,1.562e-09,7.852e-09,7.852e-09,1.562e-09,2.056292e-07
Mux,16,0.874,7.206868e-08,1.6372e-08,1.84e-10,1.84e-10,1.6372e-08,3.149401e-08
Mux,16,0.304,8.7620049e-07,1.853e-08,1.9136e-08,1.9136e-08,1.853e-08,1.3318247e-07
NOR,4,0.265,5.6209519e-07,7.152e-09,6.997e-09,6.997e-09,7.152e-09,7.447761e-08
NAND,4,0.388,3.3778335e-07,1.4314e-08,8.309e-09,8.309e-09,1.4314e-08,6.552997e-08
NAND,4,0.363,3.5054315e-07,1.582e-09,2.1103e-08,2.1103e-08,1.582e-09,6.362358e-08
XNOR,10,0.379,2.9734871e-07,2.4005e-08,1.401e-09,1.401e-09,2.4005e-08,5.634758e-08
D Flip-Flop,18,0.325,4.6092537e-07,2.837e-09,2.3198e-08,2.3198e-08,2.837e-09,7.490037e-08
OR,6,0.625,3.4367127e-07,1.783e-09,1.34e-10,1.34e-10,1.783e-09,1.0739727e-07
D Flip-Flop,18,0.173,5.5246684e-07,1.198e-09,2.3485e-08,2.3485e-08,1.198e-09,4.778838e-08
OR,6,0.848,7.7578208e-07,1.0739e-08,1.1423e-08,1.1423e-08,1.0739e-08,3.289316e-07
XOR,10,0.814,6.7771667e-07,2.519e-09,2.643e-09,2.643e-09,2.519e-09,2.7583068e-07
AND,6,0.482,3.0151232e-07,1.8642e-08,1.6887e-08,1.6887e-08,1.8642e-08,7.266447e-08
OR,6,0.854,5.334536e-07,2.2482e-08,2.2407e-08,2.2407e-08,2.2482e-08,2.2778469e-07
D Flip-Flop,18,0.255,8.417249e-07,6.579e-09,1.1008e-08,1.1008e-08,6.579e-09,1.0731992e-07
Mux,16,0.027,7.752417e-08,1.5756e-08,1.7315e-08,1.7315e-08,1.5756e-08,1.04658e-09
D Flip-Flop,18,0.623,8.751429e-08,1.154e-09,2.4486e-08,2.4486e-08,1.154e-09,2.72607e-08
OR,6,0.463,5.6060837e-07,9.725e-09,6.093e-09,6.093e-09,9.725e-09,1.2978084e-07
NAND,4,0.571,6.4272398e-07,7.394e-09,2.0529e-08,2.0529e-08,7.394e-09,1.834977e-07
D Flip-Flop,18,0.9,2.1929889e-07,5.793e-09,7.451e-09,7.451e-09,5.793e-09,9.86845e-08
NOR,4,0.97,7.4776793e-07,1.6154e-08,1.0716e-08,1.0716e-08,1.6154e-08,3.6266745e-07
XNOR,10,0.638,6.4980074e-07,3.343e-09,7.116e-09,7.116e-09,3.343e-09,2.0728644e-07
Mux,16,0.766,9.2405638e-07,2.1532e-08,1.1206e-08,1.1206e-08,2.1532e-08,3.5391359e-07
NOR,4,0.093,1.7726466e-07,1.6654e-08,2.27e-10,2.27e-10,1.6654e-08,8.24281e-09
